ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
703737,GROCKA,ZAKLOPAČA,1797,1309
703745,ZVEZDARA,ZVEZDARA,6537,5880
703753,VOŽDOVAC,ZUCE,859,680
703761,VOŽDOVAC,JAJINCI,2775,1855
703770,GROCKA,KALUĐERICA,5712,4602
703788,GROCKA,KAMENDOL,508,395
703796,RAKOVICA,KNEŽEVAC,2918,2412
703800,VOŽDOVAC,KUMODRAŽ,2454,1888
703818,GROCKA,LEŠTANE,2827,2163
703826,BARAJEVO,LISOVIĆ,1135,651
703834,OBRENOVAC,MALA MOŠTANICA,1497,908
703842,ZVEZDARA,MALI MOKRI LUG,3445,2435
703869,BARAJEVO,MANIĆ,420,256
703877,BARAJEVO,MELJAK,813,567
703885,ZVEZDARA,MIRIJEVO,2936,2130
703893,ČUKARICA,OSTRUŽNICA,1494,1197
703907,PALILULA (BEOGRAD),PALILULA,3247,2954
703915,VOŽDOVAC,PINOSAVA,994,775
703923,GROCKA,PUDARCI,622,563
703931,VOŽDOVAC,RAKOVICA SELO,853,679
703940,RAKOVICA,RESNIK,4134,3206
703958,VOŽDOVAC,RIPANJ,6116,4400
703966,GROCKA,RITOPEK,1692,1338
703974,BARAJEVO,ROŽANCI,306,247
703982,ČUKARICA,RUŠANJ,1316,1017
704008,SAVSKI VENAC,SAVSKI VENAC,4351,3769
704016,PALILULA (BEOGRAD),SLANCI,675,565
704024,ČUKARICA,SREMČICA,3939,3657
704032,RAKOVICA,STARA RAKOVICA,1772,1690
704059,STARI GRAD,STARI GRAD,2718,2602
704067,ČUKARICA,UMKA,2234,1825
704083,ČUKARICA,ČUKARICA,8349,6389
704091,BARAJEVO,ŠILJAKOVAC,756,498
704172,BLACE,ALABANA,125,123
704199,BLACE,BARBATOVAC,241,237
704202,BLACE,BLACE,1875,1844
704229,BLACE,VIŠE SELO,79,79
704237,BLACE,VRBOVAC,137,132
704245,BLACE,GORNJA DRAGUŠA,343,341
704253,BLACE,GORNJA JOŠANICA,281,226
704261,BLACE,GORNJI KAŠEVAR,122,121
704270,BLACE,GRGURE,313,310
704288,BLACE,DONJA DRAGUŠA,173,172
704296,BLACE,DONJA JOŠANICA,99,99
704300,BLACE,DONJA RAŠICA,57,52
704318,BLACE,DONJI KAŠEVAR,99,98
704326,BLACE,ĐUREVAC,150,148
704334,BLACE,KAČAPOR,55,54
704342,BLACE,KRIVAJA,137,136
704369,BLACE,KUTLOVAC,179,177
704377,BLACE,LAZAREVAC,114,101
704385,BLACE,MEĐUHANA,143,143
704393,BLACE,MUZAĆE,110,110
704407,BLACE,POPOVA,180,178
704415,BLACE,PREBREZA,203,160
704423,BLACE,PRETREŠNJA,184,159
704431,BLACE,PRIDVORICA,162,159
704440,BLACE,RAŠICA,102,100
704458,BLACE,SVARČE,259,252
704466,BLACE,SIBNICA,226,207
704474,BLACE,STUBAL,189,183
704482,BLACE,SUVAJA,63,63
704504,BLACE,SUVI DO,247,238
704512,BLACE,TRBUNJE,341,240
704539,BLACE,ČUNGULA,245,241
704547,BLACE,ČUČALE,130,128
704555,BLACE,DŽEPNICA,113,94
704563,BLACE,ŠILJOMANA,72,72
704571,BOGATIĆ,BADOVINCI,2298,2248
704580,BOGATIĆ,BANOVO POLJE,575,567
704598,ŠABAC,BELA REKA,457,398
704601,BOGATIĆ,BELOTIĆ,624,604
704610,BOGATIĆ,BOGATIĆ,2655,2620
704628,BOGATIĆ,GLOGOVAC,470,392
704636,BOGATIĆ,GLUŠCI,877,842
704644,ŠABAC,DRENOVAC,1044,979
704652,BOGATIĆ,DUBLJE,1447,1405
704679,ŠABAC,DUVANIŠTE,272,233
704687,ŠABAC,ZMINJAK,785,692
704695,BOGATIĆ,KLENJE,1310,1287
704709,ŠABAC,LIPOLIST,1248,1183
704717,ŠABAC,MAČVANSKI PRIČINOVIĆ,994,880
704725,BOGATIĆ,METKOVIĆ,431,413
704733,BOGATIĆ,OČAGE,164,133
704741,ŠABAC,PETKOVICA,555,492
704750,ŠABAC,PETLOVAČA,580,512
704768,ŠABAC,PRNJAVOR,2063,1812
704776,ŠABAC,RIBARI,841,768
704784,BOGATIĆ,SALAŠ CRNOBARSKI,542,534
704792,ŠABAC,SLEPČEVIĆ,639,583
704806,BOGATIĆ,SOVLJAK,277,274
704814,ŠABAC,TABANOVIĆ,644,585
704822,BOGATIĆ,UZVEĆE,394,321
704849,BOGATIĆ,CRNA BARA,1110,1073
704857,ŠABAC,ŠEVARICE,611,583
704865,ŠABAC,ŠTITAR,842,791
704873,BOLJEVAC,BAČEVICA,450,404
704881,BOLJEVAC,BOGOVINA,669,532
704890,BOLJEVAC,BOLJEVAC,1203,1014
704903,BOLJEVAC,VALAKONJE,970,742
704911,BOLJEVAC,VRBOVAC,379,361
704920,BOLJEVAC,DOBRO POLJE,505,383
704938,BOLJEVAC,DOBRUJEVAC,413,379
704946,BOR,ZLOT I,237,185
704954,BOR,ZLOT II,609,498
704962,BOR,ZLOT III,615,492
704989,BOR,ZLOT IV,553,425
704997,BOR,ZLOT V,880,817
705004,BOLJEVAC,ILINO,359,299
705012,BOLJEVAC,JABLANICA,595,522
705039,BOLJEVAC,KRIVI VIR,1137,991
705047,ZAJEČAR,LASOVO,856,849
705055,BOLJEVAC,LUKOVO,690,567
705063,BOLJEVAC,MALI IZVOR,550,442
705071,BOLJEVAC,MIROVO,273,246
705080,BOLJEVAC,OSNIĆ,882,680
705098,ZAJEČAR,PLANINICA,495,483
705101,BOLJEVAC,PODGORAC I,303,268
705110,BOLJEVAC,PODGORAC II,1049,872
705128,BOLJEVAC,SAVINAC,178,112
705136,BOLJEVAC,SUMRAKOVAC,554,470
705144,BOR,ŠARBANOVAC,1181,923
705152,ZAJEČAR,BRUSNIK,460,459
705179,ZAJEČAR,VELIKA JASIKOVA,789,771
705187,ZAJEČAR,VELIKI JASENOVAC,335,328
705195,ZAJEČAR,GLOGOVICA,484,479
705209,ZAJEČAR,DUBOČANE,412,402
705217,ZAJEČAR,JELAŠNICA,94,76
705225,ZAJEČAR,KLENOVAC,184,177
705233,ZAJEČAR,KOPRIVNICA,526,511
705241,BOR,LUKA,435,420
705250,ZAJEČAR,MALA JASIKOVA,211,202
705268,ZAJEČAR,MALI JASENOVAC,196,192
705276,ZAJEČAR,METRIŠ,339,334
705284,NEGOTIN,POPOVICA,614,549
705314,NEGOTIN,SIKOLE I,937,883
705322,ZAJEČAR,TABAKOVAC,152,149
705349,NEGOTIN,TRNJANE,522,492
705357,NEGOTIN,ŠARKAMEN,403,389
705365,ZAJEČAR,ŠIPIKOVO,283,274
705373,BOSILEGRAD,BARJE,76,75
705381,BOSILEGRAD,BELUT,69,64
705390,BOSILEGRAD,BISTAR,256,248
705403,SURDULICA,BOŽICA,810,789
705411,BOSILEGRAD,BOSILEGRAD I,898,784
705420,BOSILEGRAD,BOSILEGRAD II,38,35
705438,BOSILEGRAD,BRANKOVCI,161,152
705446,BOSILEGRAD,BRESNICA,225,218
705454,BOSILEGRAD,BUCELJEVO,83,81
705462,BOSILEGRAD,GLOŽJE,330,313
705497,BOSILEGRAD,GORNJA LISINA,635,621
705519,BOSILEGRAD,GORNJA LJUBATA,718,702
705527,BOSILEGRAD,GORNJA RŽANA,145,144
705535,BOSILEGRAD,GORNJE TLAMINO,410,397
705551,BOSILEGRAD,GRUJINCI,169,163
705560,BOSILEGRAD,DOGANICA,162,157
705578,BOSILEGRAD,DONJA LISINA,1,1
705586,BOSILEGRAD,DONJA LJUBATA,599,586
705594,BOSILEGRAD,DONJA RŽANA,175,171
705608,BOSILEGRAD,DONJE TLAMINO,235,218
705616,SURDULICA,DRAJINCI,184,184
705624,BOSILEGRAD,DUKAT,504,485
705632,BOSILEGRAD,ŽERAVINO,70,69
705659,BOSILEGRAD,ZLI DOL,323,320
705667,BOSILEGRAD,IZVOR,200,195
705675,BOSILEGRAD,JAREŠNIK,187,185
705683,BOSILEGRAD,KARAMANICA,197,191
705691,SURDULICA,KLISURA,741,738
705705,SURDULICA,KOLUNICA,66,64
705713,SURDULICA,KOSTROŠEVCI,220,210
705721,BOSILEGRAD,MILEVCI,157,155
705730,BOSILEGRAD,MLEKOMINCI,110,103
705748,BOSILEGRAD,MUSULJ,251,249
705756,BOSILEGRAD,NAZARICA,160,153
705764,SURDULICA,PALJA,154,151
705772,BOSILEGRAD,PARALOVO,152,143
705799,BOSILEGRAD,PLOČA,149,147
705802,BOSILEGRAD,RADIČEVCI,110,96
705829,BOSILEGRAD,RAJČILOVCI,689,589
705837,BOSILEGRAD,RESEN,103,100
705845,BOSILEGRAD,RIBARCI,88,85
705853,BOSILEGRAD,RIKAČEVO,168,163
705861,SURDULICA,STREZIMIROVCI,137,135
705870,SURDULICA,SUHI DOL,145,142
705888,SURDULICA,TOPLI DOL,328,314
705896,BOSILEGRAD,CRNOŠTICA,372,355
705900,BRUS,BATOTE,319,262
705918,BRUS,BELO POLJE,67,56
705926,BRUS,BLAŽEVO,95,71
705934,BRUS,BOGIŠE,149,124
705942,BRUS,BOZOLJIN,96,74
705969,BRUS,BORANCI,59,48
705977,BRUS,BOTUNJA,282,257
705985,BRUS,BRĐANI,111,101
705993,BRUS,BRZEĆE,180,170
706019,BRUS,BRUS,1310,1211
706027,BRUS,BUDILOVINA,182,173
706035,BRUS,VELIKA GRABOVNICA,261,232
706043,BRUS,VITOŠE,41,32
706051,BRUS,VLAJKOVCI,278,216
706060,BRUS,GORNJE LEVIĆE,168,130
706078,BRUS,GORNJI LIPOVAC,90,72
706086,BRUS,GOČMANCI,38,37
706094,BRUS,GRAD,48,48
706108,BRUS,GRADAC,56,56
706116,BRUS,GRAŠEVCI,256,186
706132,BRUS,DONJE LEVIĆE,68,62
706159,BRUS,DONJI LIPOVAC,119,100
706167,BRUS,DRENOVA,60,60
706175,BRUS,DRTEVCI,18,17
706183,BRUS,DUPCI,300,279
706191,BRUS,ĐEREKARE,26,17
706205,BRUS,ŽAREVO,120,102
706213,BRUS,ŽILINCI,91,78
706221,BRUS,ŽILJCI,185,162
706230,BRUS,ŽUNJE,222,202
706248,BRUS,ZLATARI,292,221
706256,BRUS,IGROŠ,283,244
706264,BRUS,IRIČIĆI,60,50
706272,BRUS,KNEŽEVO,39,25
706299,BRUS,KOBILJE,226,191
706302,BRUS,KOVIZLE,32,24
706329,BRUS,KOČINE,63,62
706337,BRUS,KRIVA REKA,218,179
706345,BRUS,LEPENAC,395,330
706353,BRUS,LIVAĐE,68,48
706361,BRUS,MALA VRBNICA,131,109
706370,BRUS,MALA GRABOVNICA,60,54
706388,BRUS,MAČKOVAC,111,96
706396,BRUS,MILENTIJA,158,153
706400,BRUS,OSREDCI,315,269
706418,BRUS,PALJEVŠTICA,48,38
706426,BRUS,POKRP,275,265
706434,BRUS,RAVNI,120,107
706442,BRUS,RAVNIŠTE,54,51
706469,BRUS,RADMANOVO,61,52
706485,BRUS,RAZBOJNA,277,251
706493,BRUS,RIBARI,148,106
706507,BRUS,STANULOVIĆI,69,63
706515,BRUS,STROJINCI,222,203
706523,BRUS,SUDIMLJA,101,81
706531,BRUS,TRŠANOVCI,271,223
706540,BRUS,CRVENA JABUKA,113,113
706558,BRUS,ČOKOTAR,21,15
706566,BRUS,ŠOŠIĆE,83,68
706574,PREŠEVO,ALIĐERCE,247,225
706582,BUJANOVAC,BARALJEVAC,144,136
706604,TRGOVIŠTE,BARBACE,190,177
706612,PREŠEVO,BERČEVAC,31,31
706639,BUJANOVAC,BILJAČA,578,535
706647,BUJANOVAC,BOGDANOVAC,69,68
706655,BUJANOVAC,BOŽINJEVAC I,159,150
706671,BUJANOVAC,BOROVAC,67,67
706680,BUJANOVAC,BRATOSELCE,67,67
706698,BUJANOVAC,BREZNICA,292,274
706701,BUJANOVAC,BRNJARE,84,83
706710,BUJANOVAC,BUJANOVAC,2214,1922
706728,PREŠEVO,BUJIĆ,36,36
706736,PREŠEVO,BUKAREVAC I,209,198
706752,PREŠEVO,BUKOVAC,24,24
706779,PREŠEVO,BUŠTRANJE,245,221
706787,BUJANOVAC,VELIKI TRNOVAC,2070,1849
706795,TRGOVIŠTE,VLADOVCE,52,48
706809,BUJANOVAC,VOGANCE,58,58
706817,BUJANOVAC,VRBAN,49,49
706825,PREŠEVO,GARE,39,39
706833,PREŠEVO,GOLEMI DOL,96,93
706841,PREŠEVO,GORNJA ŠUŠAJA,19,18
706850,BUJANOVAC,GORNJE NOVO SELO,97,96
706868,PREŠEVO,GOSPOĐINCE,22,22
706876,BUJANOVAC,GRAMADA,44,44
706884,PREŠEVO,DEPCE,126,125
706892,BUJANOVAC,DOBROSIN,138,131
706906,PREŠEVO,DONJA ŠUŠAJA,93,86
706914,BUJANOVAC,DONJE NOVO SELO,89,89
706922,BUJANOVAC,DREŽNICA,60,59
706949,BUJANOVAC,ĐORĐEVAC,39,39
706957,BUJANOVAC,ŽBEVAC,307,299
706965,BUJANOVAC,ŽUŽELJICA,64,60
706973,PREŠEVO,ŽUJINCE I,338,325
706990,BUJANOVAC,ZARBINCE,241,237
707007,PREŠEVO,ILINCE,27,26
707015,BUJANOVAC,JABLANICA,78,69
707023,BUJANOVAC,JASTREBAC,19,19
707031,BUJANOVAC,KARADNIK,138,133
707040,BUJANOVAC,KLENIKE,100,97
707058,BUJANOVAC,KLINOVAC,233,231
707066,BUJANOVAC,KONČULJ,238,224
707074,BUJANOVAC,KOŠARNO,47,47
707082,BUJANOVAC,KRŠEVICA,203,200
707104,PREŠEVO,KURBALIJA,26,26
707112,BUJANOVAC,KUŠTICA,89,89
707139,BUJANOVAC,LEVOSOJE,256,244
707147,BUJANOVAC,LETOVICA,280,259
707155,BUJANOVAC,LOPARDINCE,227,221
707163,BUJANOVAC,LUKARCE,25,25
707171,BUJANOVAC,LUČANE,274,248
707180,PREŠEVO,LJANIK,28,28
707198,BUJANOVAC,LJILJANCE,189,184
707201,PREŠEVO,MAĐARE,39,35
707210,TRGOVIŠTE,MALA REKA,29,29
707228,BUJANOVAC,MALO BUŠTRANJE,50,50
707236,TRGOVIŠTE,MEZDRAJA,33,27
707244,PREŠEVO,MIRATOVAC,785,720
707252,BUJANOVAC,MUHOVAC,134,127
707279,BUJANOVAC,NEGOVAC,53,53
707287,BUJANOVAC,NESALCE,341,309
707295,TRGOVIŠTE,NOVO SELO,91,80
707309,PREŠEVO,NORČA,230,223
707317,PREŠEVO,ORAOVICA,916,849
707325,BUJANOVAC,OSLARE,255,234
707333,BUJANOVAC,PETKA,120,119
707341,TRGOVIŠTE,PETROVAC,40,40
707350,PREŠEVO,PEČENO,31,31
707368,BUJANOVAC,PRETINA,22,22
707376,PREŠEVO,PREŠEVO,3645,3279
707384,BUJANOVAC,PRIBOVCE,84,82
707392,BUJANOVAC,RAVNO BUČJE,115,113
707406,PREŠEVO,RAJINCE,569,521
707414,TRGOVIŠTE,RAJČEVCE,53,52
707422,BUJANOVAC,RAKOVAC,664,565
707449,PREŠEVO,RANATOVCE,29,29
707457,PREŠEVO,RELJAN,221,210
707465,BUJANOVAC,RUSCE,28,28
707473,BUJANOVAC,SAMOLJICA,243,223
707481,PREŠEVO,SVINJIŠTE,60,59
707490,BUJANOVAC,SEBRAT,61,61
707503,BUJANOVAC,SEJACE,98,97
707511,PREŠEVO,SEFER,53,53
707520,PREŠEVO,SLAVUJEVAC,186,182
707538,BUJANOVAC,SPANČEVAC,193,193
707546,BUJANOVAC,SRPSKA KUĆA,88,87
707554,PREŠEVO,STANEVCE,51,51
707562,BUJANOVAC,STARAC,161,151
707589,PREŠEVO,STREZOVCE,276,262
707597,BUJANOVAC,SUHARNO,57,57
707619,BUJANOVAC,TREJAK,83,82
707627,PREŠEVO,TRNAVA,418,398
707635,BUJANOVAC,TURIJA,102,92
707643,BUJANOVAC,UZOVO,40,40
707651,PREŠEVO,CAKANOVAC,66,63
707660,PREŠEVO,CEREVAJKA,46,46
707678,PREŠEVO,CRNOTINCE,412,378
707686,BUJANOVAC,ČAR,60,60
707694,PREŠEVO,ČUKARKA,161,137
707708,TRGOVIŠTE,ŠUMATA TRNICA,70,70
707716,VALJEVO,BABINA LUKA,393,248
707724,VALJEVO,BALINOVIĆ,140,131
707732,VALJEVO,BAČEVCI,383,262
707759,VALJEVO,BELIĆ,55,27
707767,VALJEVO,BELOŠEVAC,517,470
707775,VALJEVO,BLIZONJE,229,110
707783,VALJEVO,BOGATIĆ,107,69
707791,VALJEVO,BRANGOVIĆ,98,47
707805,VALJEVO,BRANKOVINA,370,229
707813,VALJEVO,BREZOVICE,336,190
707821,VALJEVO,BUJAČIĆ,252,165
707830,VALJEVO,VALJEVO,13902,12864
707848,VALJEVO,VESELINOVAC,140,85
707856,VALJEVO,VUJINOVAČA,292,182
707864,VALJEVO,GORNJE LESKOVICE,360,227
707872,VALJEVO,GRABOVICA,671,434
707899,VALJEVO,DEGURIĆ,250,180
707902,VALJEVO,DIVCI,366,261
707929,VALJEVO,DIVČIBARE,1199,1063
707937,VALJEVO,DONJE LESKOVICE,334,224
707945,VALJEVO,DRAČIĆ,183,123
707953,VALJEVO,DUPLJAJ,283,153
707961,VALJEVO,ŽABARI,291,177
707970,VALJEVO,ZABRDICA,286,184
707988,VALJEVO,ZARUBE,140,63
707996,VALJEVO,ZLATARIĆ,572,362
708003,VALJEVO,JASENICA,299,195
708011,VALJEVO,JOŠEVA,180,80
708020,VALJEVO,KLANICA,349,197
708038,VALJEVO,KLINCI,184,125
708046,VALJEVO,KOVAČICE,137,71
708054,VALJEVO,KOZLIČIĆ,293,145
708062,VALJEVO,KOTEŠICA,469,277
708089,VALJEVO,KUNICE,68,31
708097,VALJEVO,LELIĆ,365,232
708119,VALJEVO,LOZNICA,456,266
708127,VALJEVO,LUKAVAC,502,333
708135,VALJEVO,PAKLJE,72,38
708143,VALJEVO,PETNICA,413,318
708151,VALJEVO,POPUČKE,1557,1142
708160,VALJEVO,PRIJEZDIĆ,250,140
708178,VALJEVO,RABAS,185,89
708186,VALJEVO,RAVNJE,174,96
708194,VALJEVO,RAĐEVO SELO,561,310
708208,VALJEVO,REBELJ,314,155
708216,VALJEVO,ROVNI,121,95
708224,VALJEVO,SANDALJ,98,58
708232,VALJEVO,SEDLARI,537,380
708259,LAJKOVAC,SLOVAC,157,135
708267,VALJEVO,SOVAČ,112,59
708275,VALJEVO,STRMNA GORA,114,65
708283,VALJEVO,STUBO,212,120
708291,VALJEVO,SUŠICA,232,106
708305,VALJEVO,TUBRAVIĆ,324,178
708313,VARVARIN,BAČINA,1199,1034
708321,VARVARIN,BOŠNJANE,661,327
708330,VARVARIN,VARVARIN (VAROŠ),920,868
708348,VARVARIN,VARVARIN (SELO),754,508
708356,VARVARIN,GORNJI KATUN,591,422
708364,VARVARIN,GORNJI KRČIN,98,86
708372,VARVARIN,DONJI KATUN,513,492
708399,VARVARIN,DONJI KRČIN,294,285
708402,VARVARIN,ZALOGOVAC,421,376
708429,VARVARIN,IZBENICA,376,255
708437,VARVARIN,KARANOVAC,295,273
708445,VARVARIN,MALA KRUŠEVICA,169,152
708453,VARVARIN,MARENOVO,172,163
708461,VARVARIN,MASKARE,330,318
708470,VARVARIN,OBREŽ,1520,1367
708488,VARVARIN,ORAŠJE,358,309
708496,VARVARIN,PAJKOVAC,101,79
708500,VARVARIN,PARCANE,239,228
708518,PARAĆIN,POTOČAC,611,372
708526,PARAĆIN,RAŠEVICA,533,377
708534,PARAĆIN,SVOJNOVO,579,336
708542,VARVARIN,SUVAJA,141,101
708569,VARVARIN,TOLJEVAC,358,294
708577,VARVARIN,CERNICA,200,183
708585,VELIKA PLANA,VELIKA PLANA I,5813,5113
708593,VELIKA PLANA,VELIKA PLANA II,791,660
708607,VELIKA PLANA,VELIKO ORAŠJE,1039,894
708615,VELIKA PLANA,KRNJEVO,1865,1793
708623,VELIKA PLANA,LOZOVIK,2127,2034
708631,SMEDEREVSKA PALANKA,MALA PLANA,454,314
708640,VELIKA PLANA,MARKOVAC,1461,1422
708658,VELIKA PLANA,MILOŠEVAC,1470,1365
708674,VELIKA PLANA,RADOVANJE,319,198
708682,VELIKA PLANA,RAKINAC,563,368
708704,SMEDEREVO,SARAORCI,879,834
708712,VELIKA PLANA,STARO SELO,1519,1334
708739,VELIKA PLANA,TRNOVČE,494,415
708747,VELIKO GRADIŠTE,BISKUPLJE,184,179
708755,KUČEVO,VELIKA BRESNICA,151,130
708763,VELIKO GRADIŠTE,VELIKO GRADIŠTE,3518,3362
708771,VELIKO GRADIŠTE,GAREVO,131,125
708780,VELIKO GRADIŠTE,DESINA,332,303
708798,VELIKO GRADIŠTE,DOLJAŠNICA,264,233
708801,VELIKO GRADIŠTE,ĐURAKOVO,180,167
708810,VELIKO GRADIŠTE,ZATONJE,395,373
708828,VELIKO GRADIŠTE,KAMIJEVO,142,134
708836,VELIKO GRADIŠTE,KISILJEVO,538,502
708844,POŽAREVAC,KLIČEVAC,585,577
708852,VELIKO GRADIŠTE,KUMANE,191,175
708879,VELIKO GRADIŠTE,KURJAČE,414,380
708887,VELIKO GRADIŠTE,KUSIĆE,305,289
708895,VELIKO GRADIŠTE,LJUBINJE,239,211
708909,VELIKO GRADIŠTE,MAJILOVAC,444,411
708917,VELIKO GRADIŠTE,MAKCE,482,434
708925,KUČEVO,MALA BRESNICA,69,61
708933,MALO CRNIĆE,MALO GRADIŠTE,218,211
708941,VELIKO GRADIŠTE,OSTROVO,595,534
708950,VELIKO GRADIŠTE,PEČANICA,249,221
708968,VELIKO GRADIŠTE,POŽEŽENO,368,333
708976,VELIKO GRADIŠTE,POPOVAC,93,80
708984,KUČEVO,RABROVO,689,598
708992,VELIKO GRADIŠTE,RAM,162,147
709000,POŽAREVAC,REČICA,229,221
709018,VELIKO GRADIŠTE,SIRAKOVO,400,365
709026,VELIKO GRADIŠTE,SREDNJEVO,286,262
709034,VELIKO GRADIŠTE,TOPOLOVNIK,559,521
709042,VELIKO GRADIŠTE,TRIBRODE,203,189
709069,VELIKO GRADIŠTE,CAREVAC,347,339
709077,VELIKO GRADIŠTE,ČEŠLJEVA BARA,362,318
709085,VLADIMIRCI,BELOTIĆ,336,242
709093,VLADIMIRCI,BELJIN,491,355
709107,VLADIMIRCI,BOBOVIK,171,144
709115,KOCELJEVA,BRDARICA,557,425
709123,KOCELJEVA,BRESNICA,116,95
709131,VLADIMIRCI,VLADIMIRCI,481,463
709158,VLADIMIRCI,VLASANICA,265,135
709166,VLADIMIRCI,VUKOŠIĆ,412,303
709174,VLADIMIRCI,VUČEVICA,78,54
709182,KOCELJEVA,GALOVIĆ,124,94
709204,KOCELJEVA,GOLOČELO,268,181
709212,KOCELJEVA,GRADOJEVIĆ,159,124
709239,VLADIMIRCI,DEBRC,525,404
709247,KOCELJEVA,DONJE CRNILJEVO,504,359
709255,KOCELJEVA,DRAGINJE,640,486
709263,VLADIMIRCI,ZVEZD,506,383
709271,VLADIMIRCI,JAZOVNIK,336,260
709280,VLADIMIRCI,JALOVIK,1045,799
709298,KOCELJEVA,KAMENICA,84,82
709301,VLADIMIRCI,KAONA,182,122
709310,VLADIMIRCI,KOZARICA,107,77
709328,KOCELJEVA,KOCELJEVA,329,214
709336,KOCELJEVA,KOCELJEVA-VAROŠICA,1519,1444
709344,VLADIMIRCI,KRNIĆ,370,294
709352,VLADIMIRCI,KRNULE,696,506
709379,VLADIMIRCI,KUJAVICA,114,80
709387,VLADIMIRCI,LOJANICE,388,280
709395,KOCELJEVA,LJUTICE,321,244
709409,KOCELJEVA,MALI BOŠNJAK,149,96
709417,VLADIMIRCI,MATIJEVAC,391,274
709425,VLADIMIRCI,MESARCI,432,308
709433,VLADIMIRCI,MEHOVINE,284,212
709441,VLADIMIRCI,MROVSKA,301,222
709450,VLADIMIRCI,NOVO SELO,148,102
709468,VLADIMIRCI,PEJINOVIĆ,146,64
709476,VLADIMIRCI,PROVO,1411,971
709484,VLADIMIRCI,RIĐAKE,206,165
709492,KOCELJEVA,SVILEUVA,906,639
709506,VLADIMIRCI,SKUPLJEN,714,521
709514,KOCELJEVA,SUBOTICA,178,151
709522,VLADIMIRCI,SUVO SELO,252,198
709549,KOCELJEVA,ĆUKOVINE,181,136
709557,ŠABAC,CEROVAC,248,169
709565,VLADIČIN HAN,BALINOVCE,89,78
709573,VLADIČIN HAN,BAČVIŠTE,112,103
709581,VLADIČIN HAN,BELANOVCE,197,185
709590,VLADIČIN HAN,BELIŠEVO,263,247
709603,VLADIČIN HAN,BOGOŠEVO,162,146
709611,VLADIČIN HAN,BRESTOVO,87,80
709620,LESKOVAC,BRIČEVLJE,139,115
709638,VLADIČIN HAN,VLADIČIN HAN,2482,2179
709646,VLADIČIN HAN,VRBOVO,177,144
709654,VLADIČIN HAN,GARINJE,262,228
709662,VLADIČIN HAN,GORNJE JABUKOVO,216,208
709689,VLADIČIN HAN,GRAMAĐE,145,122
709697,VLADIČIN HAN,DEKUTINCE,141,122
709719,VLADIČIN HAN,DONJA KOZNICA,159,135
709727,VLADIČIN HAN,DONJE JABUKOVO,173,166
709735,VLADIČIN HAN,DUPLJANE,148,143
709743,VLADIČIN HAN,ŽITORAĐE,521,411
709751,VLADIČIN HAN,ZEBINCE,164,164
709760,VLADIČIN HAN,JAGNJILO,136,130
709778,VLADIČIN HAN,JASTREBAC,230,218
709786,VLADIČIN HAN,JOVAC,242,233
709794,VLADIČIN HAN,KALIMANCE,65,54
709808,VLADIČIN HAN,KACAPUN,119,113
709816,VLADIČIN HAN,KOPITARCE,49,46
709824,LESKOVAC,KORAĆEVAC,96,81
709832,VLADIČIN HAN,KOSTOMLATICA,77,77
709859,VLADIČIN HAN,KRŽINCE,129,112
709867,VLADIČIN HAN,KUKAVICA,34,31
709875,VLADIČIN HAN,KUNOVO,355,317
709883,VLADIČIN HAN,LEPENICA,346,284
709891,VLADIČIN HAN,LETOVIŠTE,126,119
709905,VLADIČIN HAN,LJUTEŽ,165,151
709913,VLADIČIN HAN,MAZARAĆ,119,104
709921,VLADIČIN HAN,MANAJLE,73,72
709930,VLADIČIN HAN,MANJAK,335,296
709948,LESKOVAC,MRKOVICA,73,73
709956,VLADIČIN HAN,MRTVICA,281,249
709964,VLADIČIN HAN,OSTROVICA,96,96
709972,VLADIČIN HAN,POLOM,214,173
709999,LESKOVAC,PREDEJANE (VAROŠ),377,310
710008,LESKOVAC,PREDEJANE (SELO),347,286
710016,VLADIČIN HAN,PREKODOLCE,714,601
710024,VLADIČIN HAN,PRIBOJ,247,204
710032,VLADIČIN HAN,RAVNA REKA,263,255
710059,VLADIČIN HAN,RDOVO,112,110
710067,VLADIČIN HAN,REPINCE,352,287
710075,VLADIČIN HAN,REPIŠTE,321,296
710083,VLADIČIN HAN,RUŽIĆ,164,161
710091,VLADIČIN HAN,SOLAČKA SENA,138,120
710105,VLADIČIN HAN,SRNEĆI DOL,74,73
710113,VLADIČIN HAN,STUBAL,485,420
710121,VLADIČIN HAN,SUVA MORAVA,378,332
710130,LESKOVAC,SUŠEVLJE,121,109
710148,VLADIČIN HAN,TEGOVIŠTE,138,125
710156,VLADIČIN HAN,URVIČ,54,49
710164,VRANJE,URMANICA,41,40
710172,VLADIČIN HAN,DŽEP,115,98
710199,VLASOTINCE,ALEKSINE,86,86
710202,CRNA TRAVA,BAJINCI,93,89
710229,CRNA TRAVA,BANKOVCI,139,133
710237,VLASOTINCE,BATULOVCE,279,271
710245,LESKOVAC,BOJIŠINA,137,128
710253,VLASOTINCE,BOLJARE,330,310
710261,VLASOTINCE,BORIN DO,437,437
710270,LESKOVAC,BOĆEVICA,88,74
710288,VLASOTINCE,BREZOVICA,134,133
710296,CRNA TRAVA,BROD,340,326
710300,LESKOVAC,VILJE KOLO,38,36
710318,VLASOTINCE,VLASOTINCE-VAN VAROŠ,512,382
