ko_maticni_broj,municipalityName,cadmunName,parcels_total,parcels_with_buildings
805432,STARA PAZOVA,STARI BANOVCI,2329,1954
805459,INĐIJA,STARI SLANKAMEN,1643,1324
805467,STARA PAZOVA,SURDUK,1002,895
805475,PEĆINCI,ŠIMANOVCI,1314,1177
805483,STARA PAZOVA,VOJKA,1708,1503
805491,ZRENJANIN,SRPSKI ARADAC,839,698
805513,ŽITIŠTE,BANATSKI DVOR,625,599
805521,ŽITIŠTE,BEGEJCI,1518,1438
805530,ZRENJANIN,EČKA,1831,1686
805548,ZRENJANIN,ELEMIR,693,609
805556,ZRENJANIN,JANKOV MOST,332,316
805564,ZRENJANIN,KLEK,1049,901
805572,NOVI BEČEJ,KUMANE,1636,1610
805599,ZRENJANIN,LAZAREVO,1187,1076
805602,ZRENJANIN,LUKIĆEVO,744,675
805629,ZRENJANIN,LUKINO SELO,287,280
805637,ZRENJANIN,MELENCI,2724,2595
805645,ZRENJANIN,MIHAJLOVO,428,359
805653,ZRENJANIN,MUŽLJA,87,59
805661,NOVI BEČEJ,NOVI BEČEJ,6240,6061
805688,ŽITIŠTE,RAVNI TOPOLOVAC,572,537
805696,ZRENJANIN,SLOVAČKI ARADAC,964,827
805700,ZRENJANIN,SRPSKI ELEMIR,1479,1159
805718,ZRENJANIN,STAJIĆEVO,874,710
805726,ZRENJANIN,TARAŠ,554,442
805734,ŽITIŠTE,TORDA,983,943
805742,ZRENJANIN,ZRENJANIN I,21934,20355
805777,ZRENJANIN,ZRENJANIN III,755,668
805785,ŽITIŠTE,ŽITIŠTE,1255,1224
805793,ZRENJANIN,TARAŠ I,11,11
805807,KOVIN,DELIBLATSKI PESAK,14,13
805815,IRIG,DOBRODOL,55,48
805831,KANJIŽA,ADORJAN,464,458
805840,KANJIŽA,MARTONOŠ,1364,1319
805858,KOVIN,GAJ,1452,1405
805866,SOMBOR,SOMBOR II,3736,3536
