"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"351","ГОРЊИ МИЛАНОВАЦ","БЕЛО ПОЉЕ","ДЕСПОТОВАЧКА","50","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕЛО ПОЉЕ","НЕМА УЛИЦЕ","0","","","148","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕРШИЋИ","ГАЛИЧ","45","","","3","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕРШИЋИ","КНЕЗА МИХАИЛА","85","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕРШИЋИ","НЕМА УЛИЦЕ","0","","","177","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕРШИЋИ","ПОРТА","1","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БЕРШИЋИ","ТОВАРНИЦА","11","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОГДАНИЦА","ИВЕ АНДРИЋА","40","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОГДАНИЦА","НЕМА УЛИЦЕ","0","","","177","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","ВАЉЕВСКА","51","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","КНЕЗА МИЛОША","22","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","КНЕЗА МИЛОША","51","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","КНЕЗА МИЛОША","116","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","НЕМА УЛИЦЕ","0","","","236","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","НЕМАЊИНА","25","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БОЉКОВЦИ","СТЕПЕ СТЕПАНОВИЋА","24","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРАЈИЋИ","НЕМА УЛИЦЕ","0","","","23","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРАЈИЋИ","НИКОЛЕ ТЕСЛЕ","26","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ВУЈАНСКА","13","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ДЕСПОТОВАЧКА","4","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ДЕСПОТОВАЧКА","21","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ДЕСПОТОВАЧКА","50","","","3","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ДЕСПОТОВАЧКА","66","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ДЕСПОТОВАЧКА","82","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ЖЕЛЕЗНИЧКА","37","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ЗРНАЦ","16","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ИБАРСКИ ПУТ","14","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","КАТУН","1","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","КНЕГИЊЕ ЉУБИЦЕ","23","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","КРСМАНОВИЋА БРДО","34","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","ЛАЗАЊАЦ","4","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","МИЛУНКЕ САВИЋ","2","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","МИЛУНКЕ САВИЋ","49","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","НЕМА УЛИЦЕ","0","","","737","1","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЂАНИ","СУРДУП","1","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗНА","КНЕЗА МИЛОША","16","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗНА","МИКЕ АНТИЋА","37","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗНА","МИХАИЛА ПУПИНА","14","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗНА","НЕМА УЛИЦЕ","0","","","132","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗНА","СТЕПЕ СТЕПАНОВИЋА","3","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗОВИЦА","КЕЉСКА","5","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРЕЗОВИЦА","НЕМА УЛИЦЕ","0","","","69","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК ГАЈ","0","","","61","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","0","","","69","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","3","","","3","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","4","","","4","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","6","","","5","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","8","","","5","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","9","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","11","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","15","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","17","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","18","","","6","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","34","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК КРИЖЕВАЦ","42","","","3","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЗАСЕЛАК ПЕТКОВИЋИ","1","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","КАМАЉ","2","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","КАМАЉ","45","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","КАМАЉ","57","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","НАСЕЉЕ МЛАКОВАЦ","4","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","НЕМА УЛИЦЕ","0-А","","","88","1","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","НЕМА УЛИЦЕ","0-Б","","","286","1","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ПОПОВИЋА ПУТ","49","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","РАВНОГАЈСКА","15","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","СТАРА СТАЗА","18","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","СТАРА СТАЗА","28","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","СТАРА СТАЗА","44","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ТАКОВСКА","25","","","3","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","БРУСНИЦА","ЦРНОГОРСКА","75","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВАРНИЦЕ","КАЧЕРСКА","7","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВАРНИЦЕ","НЕМА УЛИЦЕ","0","","","57","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","ГОРИЧКА","9","","","0","2","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","ГОРИЧКА","17","","","0","1","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","ГОРИЧКА","47","","","0","2","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","КРЛОВЦИ","350-А","","","2","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","ЛОВАЧКА","20","","","4","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","ЛОВАЧКА","27","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","МАЛИ ПОТОК","46","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","МИНЕ ВУКОМАНОВИЋ КАРАЏИЋ","1","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","МОМЧИЛА НАСТАСИЈЕВИЋА","14","","","1","0","1779013200"
"351","ГОРЊИ МИЛАНОВАЦ","ВЕЛЕРЕЧ","НАТАЛИЈЕ ПЕТРОВИЋ","1","","","2","0","1779013200"
