"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","1","","","36","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","1","","6","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","3","","","46","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","3","4","14","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5","","","37","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-А","","","32","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-А","","5","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-Б","","","40","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-Б","","1","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-Б","3","12","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","5-В","","","28","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","7","","","48","1","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","8","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","9","","","37","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","10","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","11","","","28","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","11","","12","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","11","","4","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","12","","","25","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","12","","8","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","13","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","14","","","31","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","18","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","20","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","22","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","24","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","26","","","6","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","28","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","28-А","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","30","","","12","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","32-А","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","34","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","35","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","36","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","38","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","40","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","42","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","44","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","46","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","48","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","52","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","58","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","60","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","62","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","64","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","68","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","70","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","72","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","74","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","78","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","80","","","7","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","82","","","7","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","86","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","88-Б","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","88-Ђ","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","88-Е","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","88-Ж","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","88-И","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","90","","","8","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","90-А","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","90-Б","","","7","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","90-В","","","10","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","92-Ђ","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","92-З","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94","","","25","1","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94","ПОД3","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-А","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Б","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-В","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Г","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Д","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Ђ","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Е","","","5","1","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Ж","","","7","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-З","","","8","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-И","","","9","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-К","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Л","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-Љ","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","94-М","","","6","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","98","","","6","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","98-А","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","100","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","100-А","","","8","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","102","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","102-Б","","","8","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","102-В","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","102-Ц","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","104","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","138","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","138-Б","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","138-Д","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","140-Б","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","140-В","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","140-К","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","140-Н","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","140-С","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-А","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-Ж","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-И","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-К","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-М","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-Н","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-П","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","142-С","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АВАЛСКА","146-Г","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","1","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","2","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","3","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","4","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","5","","","5","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","7","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","8","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","9","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","14","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","16","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","28","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","53","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","54","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","56","","","4","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","78","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","81","","","2","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","85","","","1","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","104-А","","","3","0","1779013193"
"443","БЕОГРАД-ЧУКАРИЦА","БЕОГРАД","АДА ЦИГАНЛИЈА","126","","","1","0","1779013193"
