"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"391","БОСИЛЕГРАД","БАРЈЕ","АНАСТАСОВА МАХАЛА","7","","","2","0","1779010841"
"391","БОСИЛЕГРАД","БАРЈЕ","БАРЈЕ","0","","","6","0","1779010841"
"391","БОСИЛЕГРАД","БАРЈЕ","КУЛА","7","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БАРЈЕ","КУЛСКИ КАМИК","3","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","БУЗАДЖИЈИНЦИ","10","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ВУЧИНА МАХАЛА","8","","","4","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ДЗИПИ","5","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ДЗИПИ","6","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ДЗИПИ","11","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ДЛГА ПАДИНА","9","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ДОЊА МАХАЛА","22","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ЗАЈЦИ","8","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","НЕМА УЛИЦЕ","0","","","21","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ШУКОВЦИ","2","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ШУКОВЦИ","6","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БЕЛУТ","ШУКОВЦИ","20","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","БЕЛИ БРЕГ","14","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","БИСТАР","0","","","51","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ВИРОВЕ","10","","","2","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ВИРОВЕ","12","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ГРАДИШТЕ","2","","","2","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ГРАДИШТЕ","7","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ПРИСОЕ","8","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","ПРИСОЕ","11","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","РУПИ","17","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","РУПИ","18","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","РУПИ","19","","","1","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","РУПИ","27","","","7","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","СВИЊАРНИЦИ","3","","","2","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","СЕЛО","2","","","3","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","СЕЛО","12","","","2","0","1779010841"
"391","БОСИЛЕГРАД","БИСТАР","СЕЛО","17","","","3","0","1779010841"
