"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"418","ЗВЕЧАН","БАНОВ ДО","НЕМА УЛИЦЕ","0","","","120","0","1779029138"
"418","ЗВЕЧАН","БАЊСКА","НЕМА УЛИЦЕ","0","","","248","1","1779029150"
"418","ЗВЕЧАН","БАЊСКА РЕКА","НЕМА УЛИЦЕ","0","","","2","0","1779029160"
"418","ЗВЕЧАН","БАЊСКИ СУВИ ДО","НЕМА УЛИЦЕ","0","","","5","0","1779029170"
"418","ЗВЕЧАН","БОЉЕТИН","НЕМА УЛИЦЕ","0","","","115","0","1779029178"
"418","ЗВЕЧАН","БРЕСНИЦА","НЕМА УЛИЦЕ","0","","","43","0","1779029188"
"418","ЗВЕЧАН","ВЕЛИКО РУДАРЕ","НЕМА УЛИЦЕ","0","","","330","1","1779029196"
"418","ЗВЕЧАН","ВЕЛИКО РУДАРЕ","НЕМА УЛИЦЕ","1","","","1","0","1779029203"
"418","ЗВЕЧАН","ВЕЛИКО РУДАРЕ","НЕМА УЛИЦЕ","26","","","1","0","1779029254"
"418","ЗВЕЧАН","ВЕЛИКО РУДАРЕ","НЕМА УЛИЦЕ","37","","","1","0","1779029261"
"418","ЗВЕЧАН","ВЕЛИКО РУДАРЕ","НЕМА УЛИЦЕ","101","","","1","0","1779029272"
"418","ЗВЕЧАН","ВИЛИШТЕ","НЕМА УЛИЦЕ","0","","","3","0","1779029283"
"418","ЗВЕЧАН","ГРАБОВАЦ","НЕМА УЛИЦЕ","0","","","324","0","1779029294"
"418","ЗВЕЧАН","ЖАЖА","НЕМА УЛИЦЕ","0","","","240","0","1779029308"
"418","ЗВЕЧАН","ЖЕРОВНИЦА","НЕМА УЛИЦЕ","0","","","306","0","1779029323"
"418","ЗВЕЧАН","ЖИТКОВАЦ","НЕМА УЛИЦЕ","0","","","440","0","1779029336"
"418","ЗВЕЧАН","ЗВЕЧАН","БУБЕ МИХАЈЛОВИЋА","2","","","3","0","1779029348"
