"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","1","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","2","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","3","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","4","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","5","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","6","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","8","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","9","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","10","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","11","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","12","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","13","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","14","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","15","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","16","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","17","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","19","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","20","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","21","","","6","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","22","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","23","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","24","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","26","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","27-Б","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","27-В","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","28-А","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","30","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","31","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","33","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","35","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","36","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","38","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","39","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","40","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","41","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","42","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","42-А","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","43","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","44","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","44-А","","","6","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","44-Д","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","44-Е","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","44-Ц","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","45","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","46","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","49","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","50","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","51-А","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","53","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","57","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","57-А","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","58","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","59","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","60","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","61-Б","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","63-А","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","65","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","65-Г","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","66","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","68","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","68-А","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","71","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","72","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","73","","","5","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","73-А","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","74","","","10","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","74-А","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","75-А","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","76","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","76-Ц","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","79","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","81","","","15","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","81-А","","","10","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","85","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АВАЛСКА","87","","","5","3","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АЛЕКСЕЈА БРКИЋА","8","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АЛЕКСЕЈА БРКИЋА","10","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","АРАНЂЕЛА АЛЕКСИЋА","15","","","1","1","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БОЈАНА САВНИКА","3","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БОРИВОЈА ТОМИЋА","10","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАНИСЛАВА ТОДОРОВИЋА","1-Б","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАНИСЛАВА ТОДОРОВИЋА","2","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ВИЋЕНТИЈЕВИЋ","24","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","1","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","2","","","7","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","2-А","","","1","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","3","","","3","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","4","","","2","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","4-А","","","4","0","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","5","","","0","1","1779013192"
"428","БЕОГРАД-ВОЖДОВАЦ","БЕЛИ ПОТОК","БРАЋЕ ЈАКОВЉЕВИЋ","5-А","","","1","0","1779013192"
