"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","0","","","47","1"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","14","","","2","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","14-А","","","1","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","22","","","1","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","27","","","2","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","43-В","","","1","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","52","","","1","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","62","","","2","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","93","","","2","0"
"377","БЛАЦЕ","АЛАБАНА","АЛАБАНА","101","","","2","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","0","","","118","1"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","5","","","2","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","10","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","18","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","23","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","27","","","2","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","28","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","29","","","5","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","42","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","44","","","1","0"
"377","БЛАЦЕ","БАРБАТОВАЦ","БАРБАТОВАЦ","48","","","1","0"
