"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","7","","","3","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","8","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","33-А","","","3","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","45","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","48-Б","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","48-В","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","51-А","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","57","","","1","3","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","57-Г","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","15. ФЕБРУАРА","59","","","4","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","1","","","9","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","2","","","13","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","2-А","","","2","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","4","","","2","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","4-А","","","3","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","4-Б","","","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","4-Г","","","17","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","4-Г","","19","1","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","5","","","8","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","6","","","16","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","6-А","","","3","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","6-В","","","10","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","8","","","4","0","1779013201"
"431","БЕОГРАД-ЗВЕЗДАРА","БЕОГРАД","АВРАМА ПЕТРОНИЈЕВИЋА","8-А","","","3","0","1779013201"
