"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","1","","","1","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","2","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","3","","","4","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","11","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","16","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","17","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","19","","","1","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","21","","","4","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","22","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","22-А","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","25","","","4","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","27","","","4","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","31","","","1","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","32","","","2","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","34","","","1","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","36","","","3","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","38","","","4","0","1779013199"
"433","БЕОГРАД-ЛАЗАРЕВАЦ","АРАПОВАЦ","АРАПОВАЧКИ ДРУМ","39","","","2","0","1779013199"
