"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"271","АПАТИН","АПАТИН","IX ТАБЛА","0","","","8","0","1779013198"
"271","АПАТИН","АПАТИН","IX ТАБЛА","1","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","IX ТАБЛА","3-2","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","БЛОК 112 С-5 ЗАПАД","1","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","БЛОК 112 С-5 ЗАПАД","2","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","БЛОК 112 С-5 ЗАПАД","2-5","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","1","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","2","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","4","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","5","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","6","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","8","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","10","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","12","","","8","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","13","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","14","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","15","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","16","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","17","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","18","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","19","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","20","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","21","","","6","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","22","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","23","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","24","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","25","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","26","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","27","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","28","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","29","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","32","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","30","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","31","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","33","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","34","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","35","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","36","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","37","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","42","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","44","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","ВИНОГРАДСКА","46","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","ДРАВСКА","1","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","ДРАВСКА","3","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","ДРАВСКА","6","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","ДРАВСКА","8","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","0","","","15","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","1","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","1-А","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","1-Б","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","1-Г","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","1-Д","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","4","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","5","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","6","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","7","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","8","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","9","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","10","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","11","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","12","","","4","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","13","","","5","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","14","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","15","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","16","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","17","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","18","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","19","","","1","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","21","","","2","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","22","","","3","0","1779013198"
"271","АПАТИН","АПАТИН","МИРКА ШТУЛИЋА","23","","","2","0","1779013198"
