"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","1","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","3","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","4","","","8","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","5","","","3","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","8","","","3","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","10","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","14. ОКТОБРА","12","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","27.МАРТА","1","","","4","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","27.МАРТА","9","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","3","","","4","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","5","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","7","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","7-В","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","9-А","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","7. ЈУЛА","11","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","1-В","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","2","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","3","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","5","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","6","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","7","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","БЛАГОЈА НЕШКОВИЋА","11","","","1","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","ДЕЈАНА МИЛЕТИЋА","2","","","3","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","ДЕЈАНА МИЛЕТИЋА","3","","","2","0","1779013192"
"362","ВАРВАРИН","БАЧИНА","ДЕЈАНА МИЛЕТИЋА","4","","","4","0","1779013192"
