"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"321","БАТОЧИНА","БАДЊЕВАЦ","ВОЈВОДЕ ПУТНИКА","28","","","3","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ГОЛИШКА","7","","","1","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ГОЛИШКА","10","","","3","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ГОЛИШКА","11","","","2","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ГОЛИШКА","13","","","4","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","1","","","4","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","2","","","4","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","3","","","6","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","6","","","2","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","8","","","4","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","10","","","2","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ВОЈВОДЕ ПУТНИКА","28","","","3","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","11","","","1","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","15","","","3","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","16","","","3","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","17","","","1","0","1779011170"
"321","БАТОЧИНА","БАДЊЕВАЦ","ДР БОГОСАВА ДРАГОЈЕВИЋА","19","","","2","0","1779011170"
