"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste","Timestamp"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","1","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","2","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","3","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","4","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","6","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","9","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","13","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","14","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","17","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","18","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","20","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","21-А","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","23","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","29","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","33","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","39","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","40","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","41","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","42","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","46-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","47","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","49","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","50-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","51","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","52","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","53","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","57","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","59","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКА","61","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКИ ПУТ (ЧУВАРНИЦА ДТД)","0","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ВОЈВОЂАНСКИ ПУТ (ЧУВАРНИЦА ДТД)","12","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","2","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","3","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","4","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","6","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","7","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","8","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","10","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","10-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","11","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","18","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","19","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","20","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","22","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","24","","","6","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","25","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","26","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","27","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","28","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","29","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","34","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","35","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","36","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","37","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","38","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","39","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","44","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","46","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","47","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ГРАНИЧАРСКА","55","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","2","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","3","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","3-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","11","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","12","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","14","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","16-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","17","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","20","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","24","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","24-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","26","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","27","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","28","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","28-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","30","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","34","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","36","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","38","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","40","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","40-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","42","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВАТИН","ЗМАЈ ЈОВИНА","44","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","1","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","2","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","3","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","3-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","7","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","8","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","10","","","8","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","11","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","11-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","12","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","14","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","16","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","18","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","20","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","22","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","24","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","26","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","28","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","30","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","32","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","34","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","36","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","38","","","7","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","1. ОКТОБАР","40-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","БАЛОЈСКА","70-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","0","","","34","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","1","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","1-А","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","2-А","","","7","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","2-Ф","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","3","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","3-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","4","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","5","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","8","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","9","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","10","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","11","","","4","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","13","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","15","","","6","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","17","","","3","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","17-А","","","1","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","18","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","20","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","21","","","2","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","23","","","5","0","1779013195"
"265","ВРШАЦ - ГРАД","ВЕЛИКО СРЕДИШТЕ","ВИНОГРАДАРСКА","24","","","3","0","1779013195"
