"LokalitetId","Opstina","Mesto","Ulica","KucniBroj","Sprat","Stan","BiracaPrebivaliste","BiracaBoraviste"
"337","БОЉЕВАЦ","БАЧЕВИЦА","ДОБРУЈЕВАЧКА","16","","","1","0"
"337","БОЉЕВАЦ","БАЧЕВИЦА","КУЧАЈСКА","16","","","1","0"
"337","БОЉЕВАЦ","БАЧЕВИЦА","КУЧАЈСКА","28","","","1","0"
"337","БОЉЕВАЦ","БАЧЕВИЦА","НЕМА УЛИЦЕ","0","","","180","0"
"337","БОЉЕВАЦ","БОГОВИНА","ГРАБОВАЦ","2","","","3","0"
"337","БОЉЕВАЦ","БОГОВИНА","ГРАБОВАЦ","13","","","1","0"
"337","БОЉЕВАЦ","БОГОВИНА","ГРОБЉАНСКА","15","","","2","0"
"337","БОЉЕВАЦ","БОГОВИНА","ЂОРЂА СИМЕОНОВИЋА","1","","","1","0"
"337","БОЉЕВАЦ","БОГОВИНА","ЂОРЂА СИМЕОНОВИЋА","3","","","3","0"
"337","БОЉЕВАЦ","БОГОВИНА","МОМАЧКА","13","","","1","0"
"337","БОЉЕВАЦ","БОГОВИНА","НЕМА УЛИЦЕ","0-А","","","373","0"
"337","БОЉЕВАЦ","БОГОВИНА","НЕМА УЛИЦЕ","0-Б","","","135","0"
"337","БОЉЕВАЦ","БОГОВИНА","НЕМА УЛИЦЕ","0-В","","","273","9"
"337","БОЉЕВАЦ","БОГОВИНА","СТАНКУЛИЋЕВА","9","","","1","0"
"337","БОЉЕВАЦ","БОГОВИНА","ТИМОЧКА","8","","","1","0"
"337","БОЉЕВАЦ","БОГОВИНА","ТИМОЧКА","17","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","9 БРИГАДЕ","5","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","9 БРИГАДЕ","7","","","2","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","9 БРИГАДЕ","9","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","2","","","5","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","3","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","4","","","4","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","5","","","3","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","9","","","4","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АНДРЕ МИЛУТИНОВИЋА","11","","","2","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АРИСТИДИС ГРАМАНИДИС","0","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АРИСТИДИС ГРАМАНИДИС","8","","","1","0"
"337","БОЉЕВАЦ","БОЉЕВАЦ","АРИСТИДИС ГРАМАНИДИС","12","","","1","0"
