geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2017815,Приватна ветеринарска амбуланта „Dr Dolittle“,објекат ветерине,nestambeno,ВАЉЕВО,ВАЉЕВО,КНЕЗ МИХАИЛОВА,5,1.5,11,0,11,44.267341,19.888119
SRBRGI2020060,Хришћанска Адвентистичка црква - Теолоски факултет,црква,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),БОРЕ МАРКОВИЋА,11,9.4,11,0,11,44.781879,20.420815
SRBRGI2002486,Црвени крст Србије,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СИМИНА,19,4.0,10,0,10,44.819033,20.460817
SRBRGI2002503,Институт за физику,јавни објекат,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ПРЕГРЕВИЦА,118,8.5,10,0,10,44.855182,20.390527
SRBRGI2002620,Студентски културни центар,јавни објекат,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),КРАЉА МИЛАНА,48,10.6,10,0,10,44.806238,20.46429
SRBRGI2002887,Установа за одрасле и старије – Бечеј,дом за старе,stambeno-moguce,БЕЧЕЈ,БЕЧЕЈ,СИНЂЕЛИЋЕВА,140,4.2,10,0,10,45.62355,20.037371
SRBRGI2002940,Културно-просветна заједница Србије,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),НУШИЋЕВА,4,3.7,10,0,10,44.813724,20.461571
SRBRGI2003387,Централни регистар – депо и клиринг хартија од вредности,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СИМИНА,19,4.7,10,0,10,44.819027,20.460822
SRBRGI2003605,Туристичка организација – Ваљево,јавни објекат,nestambeno,ВАЉЕВО,ВАЉЕВО,ПРОТЕ МАТЕЈЕ,1,7.3,10,0,10,44.269767,19.88706
SRBRGI2006911,Предшколска установа „Мачак Гарфилд” – издвојено одељење 1,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),МИЉАНА МИЉАНИЋА,12,2.6,10,0,10,44.763017,20.50829
SRBRGI2009288,Основна музичка школа „Теодор Тоша Андрејевић”,основна школа,nestambeno,ИРИГ,ИРИГ,ЗМАЈ ЈОВИНА,59,9.6,10,0,10,45.100533,19.858804
SRBRGI2009768,Европска пословна школа,средња школа,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),СУВОБОРСКА,21,1.4,10,0,10,44.793435,20.44582
SRBRGI2010633,Кућа породице Најдановић,споменик културе,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),КРАЉА МИЛАНА,48,10.0,10,0,10,44.806228,20.464286
SRBRGI2010878,Дом друштва Црвеног крста,споменик културе,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СИМИНА,19,4.5,10,0,10,44.819105,20.460824
SRBRGI2011192,Кућа породице Марковић,споменик културе,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ГОСПОДСКА,14,10.9,10,0,10,44.845044,20.412815
SRBRGI2013237,Вртић „Звездице”,предшколска установа,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),СЛАВКА МИЉКОВИЋА,86,7.7,10,0,10,44.712426,20.456601
SRBRGI2013380,Вртић „Паметница – Вила Кошутица”,предшколска установа,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),КНЕЗА ВИШЕСЛАВА,44,4.4,10,0,10,44.774613,20.422875
SRBRGI2013630,Вртић „Маза и Луња”,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),МИОДРАГА ЖИВАНОВА,6,2.4,10,0,10,44.76043,20.504867
SRBRGI2013661,Предшколска установа „Паметница – Дипломат”,предшколска установа,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),КНЕЗА ВИШЕСЛАВА,44,5.3,10,0,10,44.774612,20.422863
SRBRGI2017356,Збирка икона Секулић,музеј,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),УЗУН МИРКОВА,5,0.3,10,0,10,44.819963,20.455563
