geoidentifikator,naziv,tip_ustanove,kategorija,opstina,mesto,ulica,kucni_broj,rastojanje_m,biraca_prebivaliste,biraca_boraviste,biraca_ukupno,lat,lon
SRBRGI2013156,Вртић „Дуга”,предшколска установа,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ЉУТИЦЕ БОГДАНА,2,6.1,504,1,505,44.7869,20.462379
SRBRGI2002984,Месна заједница Жарково,месна заједница,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),МИХАЈЛА ВАЛТРОВИЋА,36А,4.7,337,0,337,44.760281,20.408083
SRBRGI2014832,"Градски центар за социјални рад – Београд, одељење Чукарица",објекат социјалне заштите,stambeno-moguce,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),МИХАЈЛА ВАЛТРОВИЋА,36А,3.4,337,0,337,44.760344,20.408032
SRBRGI2003504,Институт за примену науке у пољопривреди,јавни објекат,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),БУЛЕВАР ДЕСПОТА СТЕФАНА,68Б,3.0,303,0,303,44.816461,20.476198
SRBRGI2006903,Предшколска установа „Луна”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),КЛАРЕ ЦЕТКИН,7,0.0,259,0,259,44.830044,20.416772
SRBRGI2006902,Предшколска установа „Мали принц”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),БУЛЕВАР МАРШАЛА ТОЛБУХИНА,2,0.0,254,0,254,44.831585,20.418467
SRBRGI2014829,"Градски центар за социјални рад – Београд, одељење Палилула",објекат социјалне заштите,stambeno-moguce,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЦВИЈИЋЕВА,110,8.6,230,0,230,44.809485,20.480506
SRBRGI2013427,Вртић „Камичак и другари”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,218,2.7,209,0,209,44.800087,20.370359
SRBRGI2013442,Вртић „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,120,1.9,206,0,206,44.802768,20.37689
SRBRGI2013582,Вртић „Бродић Мали весељак”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,74,7.4,195,0,195,44.807389,20.381562
SRBRGI2017436,Позориште „Бакине бајке”,позориште,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,169,4.3,169,0,169,44.799447,20.38178
SRBRGI2002857,Месна заједница Дедиње,месна заједница,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),СТЈЕПАНА ФИЛИПОВИЋА,29,7.3,168,0,168,44.79215,20.453046
SRBRGI2018238,Приватна ветеринарска амбуланта „Весна“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ШЕСНАЕСТОГ ОКТОБРА,15,6.5,166,1,167,44.788855,20.530182
SRBRGI2013482,Вртић „Пачићи”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,51,5.4,166,0,166,44.802029,20.397926
SRBRGI2003027,Месна заједница Јован Цвијић,месна заједница,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЦВИЈИЋЕВА,63,3.6,159,0,159,44.813535,20.478387
SRBRGI2013443,Вртић „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,86,4.0,155,0,155,44.803573,20.37916
SRBRGI2013468,Вртић „Тин-Тин Бојана”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,277,5.7,146,0,146,44.796215,20.373101
SRBRGI2017477,Приватна ветеринарска амбуланта „Терзин Пет & Вет“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,141,0.3,143,0,143,44.777314,20.475079
SRBRGI2014629,Дом за стара лица „Вожд 011”,дом за старе,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,118,3.4,140,0,140,44.777918,20.473411
SRBRGI2013426,Вртић „Камичак и другари”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДУШАНА ВУКАСОВИЋА,73,10.9,136,0,136,44.804541,20.375127
SRBRGI2018208,Приватна ветеринарска амбуланта „Pet Friend“,објекат ветерине,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),БОРСКА,9Ц,6.2,136,0,136,44.748934,20.448654
SRBRGI2013532,Вртић „Маша и Меда”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДР ИВАНА РИБАРА,83,4.4,133,2,135,44.802106,20.368684
SRBRGI2013330,Вртић „Мали маслачак”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ПЕТРАРКИНА,12,7.7,133,1,134,44.790777,20.531476
SRBRGI2003000,Месна заједница Младост,месна заједница,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,93,6.4,131,0,131,44.806949,20.388975
SRBRGI2017469,Приватна ветеринарска амбуланта за кућне љубимце „Петричевић“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВОЈВОДЕ СТЕПЕ,114,0.7,129,0,129,44.778553,20.473401
SRBRGI2006862,Предшколска установа „Снупи” – издвојено одељење,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БУЛЕВАР ЗОРАНА ЂИНЂИЋА,90,0.0,119,0,119,44.818961,20.417166
SRBRGI2013452,Вртић „Пиле”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,217,7.3,119,0,119,44.798354,20.377351
SRBRGI2014827,"Градски центар за социјални рад – Београд, одељење Земун",објекат социјалне заштите,stambeno-moguce,ЗЕМУН,БЕОГРАД (ЗЕМУН),АЛЕКСАНДРА ДУБЧЕКА,2,5.6,116,0,116,44.838433,20.411328
SRBRGI2018220,Приватна ветеринарска амбуланта за кућне љубимце „Николашев“,објекат ветерине,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ВИШЕГРАДСКА,6,0.4,110,0,110,44.802375,20.452566
SRBRGI2003355,Јавно предузеће за изградњу Обреновац,јавни објекат,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,ВУКА КАРАЏИЋА,99,3.0,108,0,108,44.656941,20.202867
SRBRGI2013326,Вртић „Звончић”,предшколска установа,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),СИМЕ ИГУМАНОВА,16,7.8,108,0,108,44.792391,20.474911
SRBRGI2013441,Предшколска установа „Бејбиленд”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ЈУРИЈА ГАГАРИНА,108,5.0,107,0,107,44.802947,20.377706
SRBRGI2012146,Јавно комунално предузеће „Градска топлана”,јавни објекат,nestambeno,ВЕЛИКА ПЛАНА,ВЕЛИКА ПЛАНА,БУЛЕВАР ДЕСПОТА СТЕФАНА,42,14.4,102,2,104,44.329962,21.072065
SRBRGI2021193,Баптистичка црква,црква,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БОРИВОЈА СТЕВАНОВИЋА,2Б,3.1,102,1,103,44.774481,20.504644
SRBRGI2013109,Вртић „Мече,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ДУШАНА ЈОВАНОВИЋА,4,3.5,100,0,100,44.753342,20.49837
SRBRGI2013406,Вртић „Пуж,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БУЛЕВАР ОСЛОБОЂЕЊА,166,6.6,98,0,98,44.756065,20.478685
SRBRGI2013262,Вртић „Зрнце”,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БРАЋЕ ЈЕРКОВИЋА,163,5.4,92,0,92,44.763466,20.497122
SRBRGI2002647,Фондација за решавање стамбених потреба младих научних радника Универзитета у Београду,јавни објекат,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БУЛЕВАР ЗОРАНА ЂИНЂИЋА,123А,7.3,88,0,88,44.818973,20.412197
SRBRGI2002652,Акредитационо тело Србије,јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ВЛАЈКОВИЋЕВА,5,4.5,87,0,87,44.812605,20.464425
SRBRGI2017773,Приватна ветеринарска амбуланта „Вет центар“,објекат ветерине,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ПАНЧИЋЕВА,10,0.6,87,0,87,44.825502,20.463601
SRBRGI2017464,Приватна ветеринарска амбуланта за кућне љубимце „Ветвизија“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ВИТАНОВАЧКА,44,0.4,82,0,82,44.778396,20.481943
SRBRGI2017456,Приватна ветеринарска амбуланта за кућне љубимце „Vet Planet“,објекат ветерине,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),РАДНИЧКА,9,8.7,81,0,81,44.837035,20.412528
SRBRGI2017771,Приватна ветеринарска амбуланта за кућне љубимце „Павловић“,објекат ветерине,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),СОЛУНСКА,5,1.7,79,0,79,44.827066,20.457002
SRBRGI2018063,Приватна ветеринарска амбуланта за кућне љубимце „Др Дача“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),НЕХРУОВА,59,0.8,79,0,79,44.806326,20.378247
SRBRGI2003237,Центар за социјални рад – Зрењанин,објекат социјалне заштите,stambeno-moguce,ЗРЕЊАНИН,ЗРЕЊАНИН,ДР СЛАВКА  ЖУПАНСКОГ,2,2.5,78,0,78,45.38047,20.388462
SRBRGI2003255,Градско јавно правобранилаштво града Зрењанина,правобранилаштво,nestambeno,ЗРЕЊАНИН,ЗРЕЊАНИН,ДР СЛАВКА  ЖУПАНСКОГ,2,6.1,78,0,78,45.38045,20.388522
SRBRGI2004108,Савез спортова Врачар,јавни објекат,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),РАДОСЛАВА ГРУЈИЋА,23,2.0,78,0,78,44.800616,20.480321
SRBRGI2003209,Месна заједница Дудови,месна заједница,nestambeno,ОБРЕНОВАЦ,ОБРЕНОВАЦ,РАДЕНКА РАНКОВИЋА,6,3.0,76,0,76,44.659808,20.206281
SRBRGI2003888,Месна заједница Медаковић 3,месна заједница,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БОРИВОЈА СТЕВАНОВИЋА,41,12.3,76,0,76,44.77302,20.503316
SRBRGI2014825,"Градски центар за социјални рад – Београд, одељење Гроцка",објекат социјалне заштите,stambeno-moguce,ГРОЦКА,ГРОЦКА,БУЛЕВАР ОСЛОБОЂЕЊА,51,3.7,75,1,76,44.671085,20.718401
SRBRGI2015013,"Дом здравља Вождовац – амбуланта „Медаковић III""",амбуланта,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БОРИВОЈА СТЕВАНОВИЋА,41,6.2,76,0,76,44.773085,20.503347
SRBRGI2017547,Приватна ветеринарска амбуланта „Свети Ђорђе“,објекат ветерине,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),ЗРМАЊСКА,8,0.3,76,0,76,44.784564,20.419476
SRBRGI2013480,Вртић „Кобајаги”,предшколска установа,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),НЕБОЈШИНА,41,10.8,75,0,75,44.794463,20.467166
SRBRGI2013338,Вртић „Дуга”,предшколска установа,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),МЛАДЕНА МИТРИЋА,5,6.0,74,0,74,44.77723,20.405702
SRBRGI2013505,Вртић „Изврнута торта”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),МИЛУТИНА МИЛАНКОВИЋА,110,7.1,74,0,74,44.811977,20.413782
SRBRGI2014582,Дневни боравак при Савезу за церебралну и дечју парализу Србије,објекат социјалне заштите,stambeno-moguce,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ПАНЧИЋЕВА,12,6.1,74,0,74,44.825711,20.46355
SRBRGI2015134,Дом здравља Стари град – амбуланта Дубровачка,амбуланта,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ДУБРОВАЧКА,26,2.3,74,0,74,44.826648,20.462425
SRBRGI2017465,Приватна ветеринарска амбуланта „Бели очњак Вет“,објекат ветерине,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),ГЕНЕРАЛА ШТЕФАНИКА,51,0.0,73,1,74,44.756388,20.496126
SRBRGI2002650,Комесаријат за избеглице и миграције,државни органи,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),НАРОДНИХ ХЕРОЈА,4,5.2,72,1,73,44.825359,20.407809
SRBRGI2017330,"Гуарнериус, Центар лепих уметности Јована Колунџије",јавни објекат,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ЏОРЏА ВАШИНГТОНА,12,1.6,72,0,72,44.817712,20.467504
SRBRGI2018064,Приватна ветеринарска амбуланта „Аки“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ОМЛАДИНСКИХ БРИГАДА,37А,0.3,71,0,71,44.802503,20.40092
SRBRGI2013018,Јавно предузеће „Ковински комуналац”,јавни објекат,nestambeno,КОВИН,КОВИН,СОЊЕ МАРИНКОВИЋ,6,3.1,70,0,70,44.739483,20.975651
SRBRGI2013415,Вртић „Лоптица”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДР ИВАНА РИБАРА,146,5.1,70,0,70,44.795854,20.371998
SRBRGI2018073,Приватна ветеринарска амбуланта „Сали вет“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),БУЛЕВАР АРСЕНИЈА ЧАРНОЈЕВИЋА,145,0.1,69,0,69,44.81847,20.405198
SRBRGI2003011,Месна заједница Париске комуне,месна заједница,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ОТОНА ЖУПАНЧИЧА,14,3.5,67,0,67,44.828,20.408917
SRBRGI2002985,Месна заједница Чукаричка Падина,месна заједница,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),ОБАЛСКИХ РАДНИКА,39,4.7,66,0,66,44.776268,20.407043
SRBRGI2006863,Предшколска установа „Миколу”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),МИЛУТИНА МИЛАНКОВИЋА,120А,5.2,66,0,66,44.812998,20.412667
SRBRGI2018147,Приватна ветеринарска амбуланта за кућне љубимце „Ђоле и Прле“,објекат ветерине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ЗДРАВКА ЧЕЛАРА,12,0.5,66,0,66,44.813162,20.482052
SRBRGI2004164,Месна заједница Вуков споменик,месна заједница,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ЗАХУМСКА,23А,1.2,65,0,65,44.804182,20.482023
SRBRGI2004166,Месна заједница Смедеревски ђерам,месна заједница,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ЗАХУМСКА,23А,4.7,65,0,65,44.804205,20.482065
SRBRGI2013470,Вртић „Кунг-фу панда - Панда 5”,предшколска установа,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ПАРТИЗАНСКИ БЛОК УЛИЦА 1,5Г,14.9,65,0,65,44.843585,20.487618
SRBRGI2018053,Приватна ветеринарска амбуланта „PET WELLNESS EVA“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ПАРИСКЕ КОМУНЕ,27,0.7,64,0,64,44.826719,20.405901
SRBRGI2018077,Приватна ветеринарска амбуланта „Др Рундо 44“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,176,0.6,64,0,64,44.800568,20.385679
SRBRGI2012397,Центар за социјални рад – Кула,објекат социјалне заштите,stambeno-moguce,КУЛА,КУЛА,СВЕТОЗАРА МАРКОВИЋА,6,8.1,63,0,63,45.6089,19.529349
SRBRGI2017856,Приватна ветеринарска амбуланта за куцне љубимце „Мона Вет“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),РАБЛЕОВА,17,0.1,60,3,63,44.786622,20.534828
SRBRGI2003054,Месна заједница Скојевска,месна заједница,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),ЛУКЕ ВОЈВОДИЋА,93,3.8,62,0,62,44.752065,20.438275
SRBRGI2013140,Вртић „Цврчак”,предшколска установа,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ЗАХУМСКА,23Б,8.4,62,0,62,44.804244,20.482425
SRBRGI2017534,Приватна ветеринарска амбуланта „Доктор Унивет“,објекат ветерине,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),ЉЕШКА,84,0.6,62,0,62,44.779119,20.412165
SRBRGI2013419,Вртић „М&М Елефантино”,предшколска установа,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ПАНЧИЋЕВА,2,11.0,61,0,61,44.825272,20.462851
SRBRGI2014823,"Градски центар за социјални рад – Београд, одељење Вождовац",објекат социјалне заштите,stambeno-moguce,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),АДМИРАЛА ВУКОВИЋА,14,4.0,61,0,61,44.78539,20.470122
SRBRGI2003015,Председник општине Палилула,органи општине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ТАКОВСКА,12,3.3,60,0,60,44.811983,20.470045
SRBRGI2003016,Општинско веће Палилула,органи општине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ТАКОВСКА,12,3.1,60,0,60,44.811967,20.470058
SRBRGI2003017,Скупштина општине Палилула,органи општине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ТАКОВСКА,12,5.7,60,0,60,44.811934,20.470092
SRBRGI2003018,Општинска управа Палилула,органи општине,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ТАКОВСКА,12,10.1,60,0,60,44.811897,20.470122
SRBRGI2003019,Општинско јавно правобранилаштво Палилула,правобранилаштво,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ТАКОВСКА,12,14.5,60,0,60,44.811863,20.470149
SRBRGI2004163,Месна заједница Звездара,месна заједница,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),БУЛЕВАР КРАЉА АЛЕКСАНДРА,243,2.9,60,0,60,44.795122,20.500869
SRBRGI2004167,Месна заједница Славујев поток,месна заједница,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),БУЛЕВАР КРАЉА АЛЕКСАНДРА,243,2.1,60,0,60,44.795147,20.500906
SRBRGI2013107,Вртић „Мече 2”,предшколска установа,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ВОЈВОДЕ МИЦКА КРСТИЋА,1Б,4.9,59,0,59,44.816231,20.504506
SRBRGI2013356,Вртић „Депаданс”,предшколска установа,nestambeno,РАКОВИЦА,БЕОГРАД (РАКОВИЦА),СТАРЦА МИЛИЈЕ,1,6.1,59,0,59,44.746204,20.438469
SRBRGI2018065,Приватна ветеринарска амбуланта за кућне љубимце „Дуња Зриле“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ПЕЂЕ МИЛОСАВЉЕВИЋА,32,0.5,58,0,58,44.817701,20.379908
SRBRGI2004314,Месна заједница Насеље Гај,месна заједница,nestambeno,БАРАЈЕВО,БАРАЈЕВО,ЦАРА ЛАЗАРА,11,3.4,57,0,57,44.573518,20.430209
SRBRGI2002794,Јавно комунално предузеће Паркинг сервис,јавни објекат,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),КРАЉИЦЕ МАРИЈЕ,7,4.9,56,0,56,44.808841,20.476341
SRBRGI2002897,Месна заједница Слободан Пенезић – Крцун,месна заједница,nestambeno,САВСКИ ВЕНАЦ,БЕОГРАД (САВСКИ ВЕНАЦ),ДР АЛЕКСАНДРА КОСТИЋА,15,4.7,56,0,56,44.80477,20.455166
SRBRGI2006865,Предшколска установа „Снупи” – седиште,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ДР АГОСТИНА НЕТА,80,0.0,55,0,55,44.798472,20.403192
SRBRGI2012756,Центар за социјални рад – Бор,објекат социјалне заштите,stambeno-moguce,БОР,БОР,ВОЈСКЕ ЈУГОСЛАВИЈЕ,11,3.1,49,6,55,44.080984,22.095003
SRBRGI2013463,Вртић „Весели бродић”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ОМЛАДИНСКИХ БРИГАДА,7,3.6,55,0,55,44.819186,20.410001
SRBRGI2013230,Вртић „Mega Kids 1” - седиште,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),НЕДЕЉКА ГВОЗДЕНОВИЋА,39,4.8,54,0,54,44.808062,20.364621
SRBRGI2017441,Театар „Око”,позориште,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БЕОГРАД (ПАЛИЛУЛА),ХУСИНСКИХ РУДАРА,6,6.1,54,0,54,44.814368,20.518307
SRBRGI2015139,"Дом здравља „Др Симо Милошевић” – амбуланта „Чукаричка падина""",амбуланта,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),СТЕВАНА ЂУРЂЕВИЋА-ТРОШАРИНЦА,3,9.8,53,0,53,44.776675,20.406587
SRBRGI2017483,Приватна ветеринарска амбуланта „Ива Вет“,објекат ветерине,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ШУМАТОВАЧКА,111,0.4,53,0,53,44.79465,20.482453
SRBRGI2017539,Приватна ветеринарска амбуланта за кућне љубимце „Ада Вет“,објекат ветерине,nestambeno,ЧУКАРИЦА,БЕОГРАД (ЧУКАРИЦА),РАДНИЧКА,37Б,0.4,53,0,53,44.785459,20.415193
SRBRGI2017857,Приватна ветеринарска амбуланта за кућне љубимце „My Vet Plus“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),БУЛЕВАР КРАЉА АЛЕКСАНДРА,518В,5.4,53,0,53,44.783269,20.520904
SRBRGI2018070,Приватна ветеринарска амбуланта „ТОММY“,објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,122А,7.4,53,0,53,44.804436,20.385434
SRBRGI2013110,Предшколска установа „Студио за децу Змај 2”,предшколска установа,nestambeno,ВРАЧАР,БЕОГРАД (ВРАЧАР),ХАЏИ-РУВИМОВА,21,2.7,52,0,52,44.8018,20.479101
SRBRGI2013291,Вртић „Пепељуга”,предшколска установа,nestambeno,ЗЕМУН,БЕОГРАД (ЗЕМУН),ЦАРА ДУШАНА,123,2.5,52,0,52,44.852908,20.39202
SRBRGI2013405,Вртић „Пуж”,предшколска установа,nestambeno,ВОЖДОВАЦ,БЕОГРАД (ВОЖДОВАЦ),БУЛЕВАР ОСЛОБОЂЕЊА,148,7.6,52,0,52,44.756637,20.479107
SRBRGI2002944,Дечје позориште „Чарапа”,позориште,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ШПАНСКИХ БОРАЦА,24,3.6,51,0,51,44.814869,20.419267
SRBRGI2004330,Месна заједница Врчин,месна заједница,nestambeno,ГРОЦКА,ВРЧИН,САВЕ КОВАЧЕВИЋА,4,9.4,51,0,51,44.663138,20.592207
SRBRGI2013101,Вртић „Јуца - дечја откривалица”,предшколска установа,nestambeno,СТАРИ ГРАД,БЕОГРАД (СТАРИ ГРАД),ЈЕЛЕНЕ ЋЕТКОВИЋ,12,3.1,51,0,51,44.815953,20.469192
SRBRGI2013414,Предшколска установа „Лоптица”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),МИЛАНА ВУЈАКЛИЈЕ,10,10.0,51,0,51,44.811816,20.366614
SRBRGI2017910,Приватна ветеринарска амбуланта „Филиповић“,објекат ветерине,nestambeno,ЗВЕЗДАРА,БЕОГРАД (ЗВЕЗДАРА),ВОЈВОДЕ БОГДАНА,25,0.4,51,0,51,44.803297,20.484678
SRBRGI2013196,Вртић „Снешко”,предшколска установа,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БОРЧА,РАТНИХ ВОЈНИХ ИНВАЛИДА,27,6.2,50,0,50,44.876366,20.454328
SRBRGI2013596,Вртић „Трешњин цвет”,предшколска установа,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ТРЕШЊИНОГ ЦВЕТА,9,12.4,50,0,50,44.825521,20.41756
SRBRGI2002847,Центар за социјални рад – Суботица,објекат социјалне заштите,stambeno-moguce,СУБОТИЦА,СУБОТИЦА,ШАНТИЋЕВА,27,9.2,49,0,49,46.104972,19.676581
SRBRGI2011728,Фондација менталне хигијене Exspecto,јавни објекат,nestambeno,СУБОТИЦА,СУБОТИЦА,ШАНТИЋЕВА,27,4.1,49,0,49,46.104921,19.676584
SRBRGI2013195,Вртић „Биберче”,предшколска установа,nestambeno,ПАЛИЛУЛА (БЕОГРАД),БОРЧА,РАТНИХ ВОЈНИХ ИНВАЛИДА,23,6.2,49,0,49,44.875264,20.451507
SRBRGI2017378,Театар „Мимарт“,позориште,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ГАНДИЈЕВА,11,6.9,49,0,49,44.809188,20.384269
SRBRGI2018054,"Приватна ветеринарска амбуланта „Пас, мачка и ...“",објекат ветерине,nestambeno,НОВИ БЕОГРАД,БЕОГРАД (НОВИ БЕОГРАД),ОМЛАДИНСКИХ БРИГАДА,7Ђ,0.2,49,0,49,44.818853,20.409694
